rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
8,8,0,NEW,20227890,슈퍼 마리오 브라더스,2023-04-26,11624620,1.5,11624620,100,15368620,1044,1044,100,1460,3,3,20230411
9,9,6,OLD,20197654,소울메이트,2023-03-15,7235728,0.9,2587276,55.7,2256103380,948,437,85.5,233338,94,117,20230411
10,10,1,OLD,20230641,오토라는 남자,2023-03-29,7659797,1.0,1037201,15.7,320114710,933,89,10.5,35577,137,176,20230411
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,311155184,35.8,-1234773206,-79.9,45096751987,30825,-123730,-80.1,4374873,1126,4088,20230410
2,2,0,OLD,20226489,리바운드,2023-04-05,207499317,23.8,-595405030,-74.2,2977031693,22046,-60854,-73.4,312208,1014,3734,20230410
3,3,2,OLD,20231010,에어,2023-04-05,48187600,5.5,-97068813,-66.8,799068962,5034,-9459,-65.3,82584,553,1538,20230410
4,4,2,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,79785500,9.2,-109131000,-57.8,46270223367,4349,-6456,-59.8,4451799,21,121,20230410
5,5,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,43052081,4.9,-125821356,-74.5,2707593588,4313,-12406,-74.2,272086,520,1083,20230410
6,6,0,NEW,20200154,킬링 로맨스,2023-04-14,33174000,3.8,33174000,100,33174000,3487,3487,100,3487,12,12,20230410
7,7,19,OLD,20179462,위대한 쇼맨,2017-12-20,22190664,2.5,19666864,779.3,13445097934,2205,1963,811.2,1712819,52,101,20230410
8,8,-1,OLD,20210544,웅남이,2023-03-22,16598000,1.9,-27683046,-62.5,2742076652,1763,-3030,-63.2,299095,280,422,20230410
9,9,7,OLD,20227684,멍뭉이,2023-03-01,10997500,1.3,3392500,44.6,1746900086,1222,385,46,185957,14,15,20230410
10,10,2,OLD,20230767,파벨만스,2023-03-22,9833454,1.1,-8752382,-47.1,704236972,1042,-793,-43.2,69612,120,153,20230410
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1545928390,46.1,-343679878,-18.2,44785596803,154555,-33196,-17.7,4344048,1323,5109,20230409
2,2,0,OLD,20226489,리바운드,2023-04-05,802904347,23.9,-84295396,-9.5,2769532376,82900,-7973,-8.8,290162,1154,4413,20230409
3,3,1,OLD,20231089,존 윅 4,2023-04-12,207856297,6.2,-22596911,-9.8,459525505,17993,-1907,-9.6,39141,173,364,20230409
4,4,-1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,168873437,5.0,-50270169,-22.9,2664541507,16719,-4638,-21.7,267773,623,1317,20230409
5,5,0,OLD,20231010,에어,2023-04-05,145256413,4.3,-52693051,-26.6,750881362,14493,-5402,-27.2,77550,629,1962,20230409
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,188916500,5.6,-37243500,-16.5,46190437867,10805,-1836,-14.5,4447450,22,126,20230409
7,7,0,OLD,20210544,웅남이,2023-03-22,44281046,1.3,-4838843,-9.9,2725478652,4793,-566,-10.6,297332,363,558,20230409
8,8,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,33462000,1.0,-1266500,-3.6,546366000,3557,6,0.2,61162,138,208,20230409
9,9,-1,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,30223090,0.9,-1948798,-6.1,74771876,3406,-223,-6.1,8611,249,294,20230409
10,10,0,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27178300,0.8,-12885900,-32.2,136089900,2383,-1137,-32.3,11980,107,221,20230409
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1889608268,47.3,1253016743,196.8,43239668413,187751,125125,199.8,4189493,1335,5351,20230408
2,2,0,OLD,20226489,리바운드,2023-04-05,887199743,22.2,515437861,138.6,1966628029,90873,51862,132.9,207262,1144,4649,20230408
3,3,1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,219143606,5.5,114655598,109.7,2495668070,21357,10842,103.1,251054,645,1388,20230408
4,4,0,NEW,20231089,존 윅 4,2023-04-12,230453208,5.8,230453208,100,251669208,19900,19900,100,21148,169,363,20230408
5,5,-2,OLD,20231010,에어,2023-04-05,197949464,5.0,79830665,67.6,605624949,19895,7874,65.5,63057,653,2190,20230408
6,6,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,226160000,5.7,85980500,61.3,46001521367,12641,4846,62.2,4436645,21,125,20230408
7,7,-1,OLD,20210544,웅남이,2023-03-22,49119889,1.2,24640792,100.7,2681197606,5359,2770,107,292539,368,593,20230408
8,8,6,OLD,20230764,오글리스: 웰컴 투 냄새 마을,2023-04-06,32171888,0.8,26556688,472.9,44548786,3629,2931,419.9,5205,256,310,20230408
9,9,17,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,34728500,0.9,32784400,1686.4,512904000,3551,3304,1337.7,57605,140,217,20230408
10,10,-3,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,40064200,1.0,12685000,46.3,108911600,3520,1181,50.5,9597,103,232,20230408
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,636591525,40.5,280299870,78.7,41350060145,62626,26318,72.5,4001742,1156,4456,20230407
2,2,0,OLD,20226489,리바운드,2023-04-05,371761882,23.6,128173838,52.6,1079428286,39011,12361,46.4,116389,1086,4264,20230407
3,3,0,OLD,20231010,에어,2023-04-05,118118799,7.5,19593956,19.9,407675485,12021,1302,12.1,43162,639,2021,20230407
4,4,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,104488008,6.6,39764295,61.4,2276524464,10515,3694,54.2,229697,607,1430,20230407
5,5,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,140179500,8.9,48027000,52.1,45775361367,7795,2686,52.6,4424004,23,126,20230407
6,6,1,OLD,20210544,웅남이,2023-03-22,24479097,1.6,-1047425,-4.1,2632077717,2589,-466,-15.3,287180,331,547,20230407
7,7,-1,OLD,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,27379200,1.7,-14089000,-34,68847400,2339,-1399,-37.4,6077,100,234,20230407
8,8,0,OLD,20231144,곰돌이 푸: 피와 꿀,2023-04-06,16767089,1.1,1224966,7.9,33443212,1474,43,3,3031,189,254,20230407
9,9,4,OLD,20230767,파벨만스,2023-03-22,13937482,0.9,4200961,43.1,654617458,1386,379,37.6,64671,118,158,20230407
10,10,0,OLD,20230641,오토라는 남자,2023-03-29,10292793,0.7,955739,10.2,274906208,1315,188,16.7,30051,161,211,20230407
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,356291655,33.7,-63079318,-15,40713468620,36308,-6934,-16,3939116,1101,3999,20230406
2,2,0,OLD,20226489,리바운드,2023-04-05,243588044,23.0,-59329316,-19.6,707666404,26650,-6239,-19,77378,1058,3934,20230406
3,3,0,OLD,20231010,에어,2023-04-05,98524843,9.3,-67800901,-40.8,289556686,10719,-7240,-40.3,31141,636,2026,20230406
4,4,1,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,64723713,6.1,-28893369,-30.9,2172036456,6821,-4076,-37.4,219182,578,1298,20230406
5,5,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,92152500,8.7,-127646500,-58.1,45635181867,5109,-8069,-61.2,4416209,21,123,20230406
6,6,0,NEW,20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,41468200,3.9,41468200,100,41468200,3738,3738,100,3738,94,240,20230406
7,7,-1,OLD,20210544,웅남이,2023-03-22,25526522,2.4,-14667900,-36.5,2607598620,3055,-1367,-30.9,284591,350,573,20230406
8,8,22,OLD,20231144,곰돌이 푸: 피와 꿀,2023-04-06,15542123,1.5,14408123,1270.6,16676123,1431,1305,1035.7,1557,184,259,20230406
9,9,0,NEW,20231009,거울 속 외딴 성,2023-04-12,10521000,1.0,10521000,100,11439000,1169,1169,100,1271,4,4,20230406
10,10,-2,OLD,20230641,오토라는 남자,2023-03-29,9337054,0.9,1015661,12.2,264613415,1127,59,5.5,28736,151,187,20230406
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,419370973,31.1,69569129,19.9,40357176965,43242,8151,23.2,3902808,1101,4074,20230405
2,2,3,OLD,20226489,리바운드,2023-04-05,302917360,22.5,278194360,1125.2,464078360,32889,30142,1097.3,50728,1102,4117,20230405
3,3,0,NEW,20231010,에어,2023-04-05,166325744,12.4,166325744,100,191031843,17959,17959,100,20422,656,2301,20230405
4,4,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,219799000,16.3,106271249,93.6,45543029367,13178,3411,34.9,4411100,21,123,20230405
5,5,-3,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,93617082,7.0,-19380880,-17.2,2107312743,10897,-625,-5.4,212361,616,1408,20230405
6,6,-2,OLD,20210544,웅남이,2023-03-22,40194422,3.0,-7517964,-15.8,2582072098,4422,-727,-14.1,281536,384,707,20230405
